"gauge_id","gauge_name","institution","gauge_lat","gauge_lon","gauge_alt","length","n_outliers","n_changepoints"
"X11317001","Rio Simpson Bajo Junta Coyhaique","DGA",-45.5517,-72.0681,201,5492,1,0
"X11316003","Coyhaique (Escuela Agricola)","DGA",-45.5739,-72.0286,339,10907,1,1
"X00000030","El_Claro","INIA",-45.58,-72.09,241,3113,0,0
"X00002269","Sarmiento_Aeroclub","RHN",-45.5811,-69.0749,270,14525,12,0
"X00450004","Teniente Vidal Coyhaique Ad.","DMC",-45.5939,-72.1086,295,24741,14,2
"X00000031","Tamelaike","INIA",-45.75,-72.06,411,3842,0,0
"X11310003","Rio Blanco Chico Antes Junta Oscuro","DGA",-45.8853,-71.7211,522,3139,0,0
"X00450005","Balmaceda Ad.","DMC",-45.9128,-71.6942,516,24713,10,1
"X00000032","Vista_Hermosa","INIA",-45.93,-71.83,679,3552,0,0
"X00002297","Senguerr_Los_Molinos","RHN",-45.9861,-69.4749,332,4594,0,0
"X11503001","Villa Cerro Castillo","DGA",-46.1206,-72.1539,364,8312,1,0
"X11505001","Rio Ibaez En Desembocadura","DGA",-46.2692,-71.9908,209,4898,0,0
"X11511001","Puerto Ibaez","DGA",-46.2892,-71.9336,218,10255,3,1
"X11513001","Bahia Murta","DGA",-46.4619,-72.6686,232,8131,4,0
"X00087852","Perito_Moreno_Aero","SMN",-46.5167,-71.0167,450,15514,6,0
"X00000035","Chile_Chico","INIA",-46.54,-71.69,212,4085,0,0
"X11521005","Lago General Carrera Fachinal","DGA",-46.5425,-72.2267,205,1989,0,0
"X11521002","Chile Chico","DGA",-46.5436,-71.7089,214,8682,0,1
"X00460001","Chile Chico Ad.","DMC",-46.5808,-71.6928,305,21945,8,1
"X00085889","Faro Raper","DIRECTEMAR",-46.803,-75.638,18,1822,0,0
"X11523001","Puerto Guadal","DGA",-46.8428,-72.7008,211,5665,1,0
"X11517002","Lago General Carrera En Desage","DGA",-46.8456,-72.8033,209,1916,0,0
"X11532000","Rio Nef Antes Junta Estero El Revalse","DGA",-47.1378,-73.0869,292,2537,0,0
"X11536004","Rio Baker En Angostura Chacabuco","DGA",-47.1414,-72.7258,143,6039,0,0
"X00000036","Cochrane","INIA",-47.24,-72.58,209,3872,0,0
"X00470001","Lord Cochrane Ad.","DMC",-47.2439,-72.5864,201,17991,4,1
"X11536001","Rio Cochrane En Cochrane","DGA",-47.2517,-72.5644,143,4193,6,0
"X11546001","Caleta Tortel","DGA",-47.7997,-73.5358,12,2805,0,0
"X11711000","Rio Pascua Ante Junta Rio Quetru","DGA",-48.1592,-73.0889,20,6276,1,1
"X00002814","Nansen_Estancia_Entre_Rios","RHN",-48.2553,-72.2197,482,11311,0,0
"X11701002","Villa Ohiggins","DGA",-48.4692,-72.5589,270,4904,0,0
"X11702000","Lago Ohiggins En Villa Ohiggins","DGA",-48.5169,-72.5953,268,5902,9,0
"X00087880","Gobernador_Gregores_Aero","SMN",-48.7833,-70.1667,357,18774,11,1
"X12000000","Glaciar Tempano","DGA",-48.8347,-74.1831,36,2073,0,0
"X11704001","Candelario Mancilla","DGA",-48.8775,-72.7394,297,7515,1,1
"X12125002","Rio Punta Eva En Puerto Eden","DGA",-49.1103,-74.4119,12,1648,0,0
"X12125001","Puerto Eden","DGA",-49.1228,-74.4069,10,3858,0,0
"X00002820","De_las_Vueltas_PN_Los_Glaciares","RHN",-49.3433,-72.8607,386,10803,4,0
"X00002801","La_Leona","RHN",-49.7972,-72.064,249,15268,6,1
"X00002802","Santa_Cruz_Charles_Fuhr","RHN",-50.2521,-71.9078,180,21207,7,1
"X00087904","El_Calafate","SMN",-50.2667,-72.05,177,6946,2,0
"X12280004","Lago Dickson","DGA",-50.8228,-73.1125,198,5287,0,0
"X12280006","Lago Paine","DGA",-50.8414,-72.9047,159,3683,0,0
"X12283001","Cerro Guido","DGA",-50.8986,-72.3314,224,13096,3,0
"X12284009","Lago Sarmiento","DGA",-51.0108,-72.7106,119,8003,1,1
"X12284006","Rio Las Chinas En Cerro Guido","DGA",-51.0508,-72.5169,76,5849,0,0
"X12283003","Lago Pehoe","DGA",-51.0783,-72.9933,40,4525,0,1
"X00000303","Esperanza_EEA","INTA",-51.1,-70.5,137,2036,0,0
"X12287002","Lago Grey","DGA",-51.1114,-73.13,44,3498,0,0
"X12288000","Glaciar Tindall","DGA",-51.1158,-73.2825,332,2454,0,0
"X00000037","Cerro_Castillo","INIA",-51.17,-72.43,317,1794,0,0
"X12286001","Torres Del Paine","DGA",-51.1842,-72.9669,24,13819,1,0
"X12284010","Cerro Castillo","DGA",-51.26,-72.3272,130,13994,3,0
"X00087925","Rio_Gallegos_Aero","SMN",-51.6167,-69.2833,15,22281,9,1
"X00510005","Teniente Gallardo Puerto Natales Ad.","DMC",-51.6672,-72.5289,66,5932,2,0
"X00000038","Puerto_Natales","INIA",-51.69,-72.48,111,3834,0,0
"X12400001","Casas Viejas","DGA",-51.6975,-72.3297,214,13582,1,0
"X12293001","Puerto Natales","DGA",-51.7336,-72.4781,46,6562,4,2
"X12400003","Rio Tranquilo En Ruta N 9","DGA",-51.8233,-72.1592,31,4128,0,0
"X12640001","Teniente Merino","DGA",-52.0342,-70.7333,169,12407,3,0
"X12400002","Rubens En Ruta N. 9","DGA",-52.0389,-71.9419,186,5488,0,0
"X12622001","Rio Penitente En Morro Chico","DGA",-52.0511,-71.4247,168,4999,1,1
"X12402000","Lago Anibal Pinto","DGA",-52.0911,-72.4361,48,3621,0,0
"X12680001","Monte Aymond","DGA",-52.1644,-69.6078,170,8217,1,1
"X12620000","Penitente Alto","DGA",-52.2092,-71.6806,286,3405,0,0
"X12403000","Seno Obstruccin","DGA",-52.2094,-72.4783,3,3494,0,1
"X00085930","Faro_Evangelistas","DIRECTEMAR",-52.385,-75.098,0,1824,0,0
"X00085931","Faro_Dungenes","DIRECTEMAR",-52.395,-68.431,14,1825,0,0
"X12622002","Villa Tehuelche","DGA",-52.4414,-71.4022,191,14569,2,0
"X12803000","Bahia Lomas","DGA",-52.5472,-69.3269,0,2807,0,0
"X12452002","Rio Perez","DGA",-52.5486,-71.9603,8,7725,0,0
"X12452001","Rio Perez En Desembocadura","DGA",-52.5492,-71.9747,10,4066,0,0
"X12530001","San Gregorio","DGA",-52.5664,-70.0706,11,10249,1,0
"X12454001","Rio Verde","DGA",-52.6042,-71.5019,11,6885,1,0
"X00000040","Kampenaike","INIA",-52.61,-70.92,115,2947,0,0
"X12440001","Rocallosas","DGA",-52.6514,-71.9631,0,5326,0,0
"X12802001","Rio Side En Cerro Sombrero","DGA",-52.7681,-69.2772,47,4043,0,0
"X12802002","Cerro Sombrero","DGA",-52.7764,-69.2928,61,10390,2,0
"X00000041","Tierra_del_Fuego","INIA",-52.8,-69.27,93,3257,0,0
"X12449002","Cordillera Riesco","DGA",-52.8425,-71.7642,456,3056,0,0
"X12806004","Bahia San Felipe","DGA",-52.8697,-69.9319,11,12909,8,2
"X12449001","Isla Riesco","DGA",-52.8819,-71.5706,15,10191,2,1
"X00085000","Felix","DIRECTEMAR",-52.958,-74.067,0,1790,0,0
"X00520006","Punta Arenas","DMC",-53.0033,-70.845,36,25259,7,1
"X00000042","Isla_Riesco","INIA",-53.03,-71.93,45,2758,0,0
"X00000043","Punta_Arenas_Rural","INIA",-53.06,-70.87,47,3242,0,0
"X12587000","Bitsch Alto","DGA",-53.0919,-71.0025,331,3879,0,0
"X12586004","Punta Arenas","DGA",-53.1233,-70.8772,6,17186,0,1
"X12586009","Canal De Trasvase Estero Llau-Llau","DGA",-53.125,-70.9358,75,5958,1,0
"X12586001","Rio Las Minas En Bt. Sendos","DGA",-53.1381,-70.9875,209,7289,3,0
"X12586010","Magdalena Giglio 2","DGA",-53.1397,-71.0561,420,2946,0,0
"X12586007","Las Minas","DGA",-53.1442,-70.9831,136,7743,2,0
"X12586005","Laguna Lynch","DGA",-53.1444,-70.9831,134,3137,5,2
"X12586006","Cerro Mirador","DGA",-53.1842,-71.0833,585,4085,0,0
"X00530005","Fuentes Martinez Porvenir Ad.","DMC",-53.1875,-70.3203,10,12298,4,1
